date | item | file | change | test | on the harness | red | restored green
2026-09-19 | defect 1 reasons: "rehearsal" back on the refused list | apps/api/src/reasons.ts | a refused pattern \b(dress )?rehearsal\b added above the claude pattern | api: test/reasons.spec.ts | no | RED as expected (1 failed: the shapes that were actually written are named, and honest reasons pass) | green (2 passed)
2026-09-19 | 0 add a business: setPrimary ignored at creation | apps/api/src/modules/crm/routes.ts | makePrimary no longer reads setPrimary; only the first business becomes primary | api: test/sept19-walk.spec.ts | no | RED as expected (1 failed: a business added from the client page: formation date with provenance, and primary at creation clears the previous primary) | green (5 passed)
2026-09-19 | defect 1 reasons: "rehearsal" back on the refused list | apps/api/src/reasons.ts | a refused pattern \b(dress )?rehearsal\b added above the claude pattern | api: test/reasons.spec.ts | no | RED as expected (1 failed: the shapes that were actually written are named, and honest reasons pass) | green (2 passed)
2026-09-19 | defect 2 inline errors: the modal swallows the refusal and closes | apps/internal/components/ask.tsx | run() wrapped in a try that swallows; finish(r) called as if it succeeded | harness: tests/ops-inline-error.spec.ts | yes | RED as expected (2 failed: a refused amend shows the server's words beside the field, and the field keeps the text (18.1s) [phone]; a refused amend shows the server's words beside the field, and the field keeps the text (17.1s) [desk]) | green (0 passed)
2026-09-19 | defect 3 hold line: the date dropped from the held line | apps/api/src/outbox.ts | holdLine returns the undated present-tense sentence | api: test/sept19-walk.spec.ts | no | RED as expected (1 failed: a held send is dated and past tense, when it is held and when an old row is read) | green (5 passed)
2026-09-19 | defect 4 period badge: no period badge or control on non-tax lines | apps/internal/app/clients/[id]/page.tsx | no sabotage: the change removed controls; there is no guard to break. Evidence is the assertion "no period badge on a completed business return" in ops-scorp-dry-run.spec.ts | harness: tests/ops-scorp-dry-run.spec.ts | yes | n/a | n/a
2026-09-19 | solo dry run: the preparer queue ignores ?all=1 | apps/api/src/modules/tax/routes.ts | the leadership all=1 branch removed from the queue target | api: test/sept19-walk.spec.ts | no | RED as expected (1 failed: the preparer queue: leadership reads everyone on request; a preparer reads only their own) | green (5 passed)
2026-09-19 | dry run finding: the acceptance-email actor back to the outbox | apps/api/src/modules/tax/efile-ack.ts | the send audits actor system/outbox instead of the releaser | api: test/sept19-walk.spec.ts | no | RED as expected (1 failed: the actor on an acceptance email is the person who released the report) | green (5 passed)
2026-09-19 | dry run finding: the 8879 signed-date gate removed | apps/api/src/modules/tax/signed-8879.ts | the signed_date_in_future check made unreachable | api: test/sept19-walk.spec.ts | no | RED as expected (1 failed: the 8879 signed date is a past fact: tomorrow is refused, the real earlier date authorizes) | green (5 passed)
2026-09-19 | item 4 completion: the state jurisdiction never awaited | apps/api/src/modules/tax/pipeline.ts | the awaiting check for the expected state made unreachable, so federal alone completes | api: test/completion.spec.ts | no | RED as expected (3 failed: federal then state: the return completes on the state acknowledgment, not the federal one; a state row for a different state is recorded but does not count; the right state still completes; the manual door obeys the same rule: federal accepted leaves the return awaiting its state; the state completes it) | green (8 passed)
2026-09-19 | item 5 money line: system actors classed as staff | apps/api/src/modules/billing/money-digest.ts | the actor-class CASE reads WHEN a.actor_type IN ('staff','system') THEN 'staff' | api: test/money-digest.spec.ts | no | RED as expected (2 failed: an unmatched webhook refund is outside the door: class system, never by staff; the executive view carries both lines, and the digest sends class staff only) | green (5 passed)
2026-09-19 | item 2 return controls: the outside-range reason check disabled | apps/api/src/modules/tax/routes.ts | the final_fee_reason_required branch made unreachable, so a fee outside the quoted range passes without a reason | api: test/return-controls.spec.ts | no | RED as expected (1 failed: final fee inside the quoted range needs no reason; outside it is refused without one, naming the range, and audited with one) | green (6 passed)
2026-09-19 | item 3 harness taps: the Set final fee control removed from the Returns card | apps/internal/components/return-controls.tsx | the Set final fee button replaced by nothing; the dry run cannot tap it | harness: tests/ops-scorp-dry-run.spec.ts | yes | NOT RED (4 failed: signed 8879-CORP, final fee, filed, acknowledged on the acks screen, paid, completed (5.0m) [phone]; the client page reads the finished run: filed and accepted, the return delivered, the invoice paid, the engagement completed (3.7s) [phone]; signed 8879-CORP, final fee, filed, acknowledged on the acks screen, paid, completed (5.0m) [desk]) | green (4 passed)
2026-09-19 | defect 2 inline errors: the modal swallows the refusal and closes | apps/internal/components/ask.tsx | run() wrapped in a try that swallows; finish(r) called as if it succeeded | harness: tests/ops-inline-error.spec.ts | yes | RED as expected (2 failed: a refused amend shows the server's words beside the field, and the field keeps the text (17.7s) [phone]; a refused amend shows the server's words beside the field, and the field keeps the text (18.0s) [desk]) | green (2 passed)
2026-09-19 | item 3 harness taps: the Set final fee control removed from the Returns card | apps/internal/components/return-controls.tsx | the Set final fee button replaced by nothing; the dry run cannot tap it | harness: tests/ops-scorp-dry-run.spec.ts | yes | RED as expected (4 failed: signed 8879-CORP, final fee, filed, acknowledged on the acks screen, paid, completed (5.0m) [phone]; the client page reads the finished run: filed and accepted, the return delivered, the invoice paid, the engagement completed (2.7s) [phone]; signed 8879-CORP, final fee, filed, acknowledged on the acks screen, paid, completed (5.0m) [desk]) | green (4 passed)
2026-09-19 | report item 9 ratchet: the old modal-then-api shape back in a page | apps/internal/app/alerts/page.tsx | a handler appended that awaits ask() without run and then calls api() | guard: check:inline-errors | no | RED as expected (1 failed: apps/internal/app/alerts/page.tsx:80: ask() without run, then api() after the modal closed) | green (1 passed)
