(node:19228) [DEP0190] DeprecationWarning: Passing args to a child process with shell option true can lead to security vulnerabilities, as the arguments are not escaped, only concatenated.
(Use `node --trace-deprecation ...` to show where the warning was created)
1 | exit 0 | 0 failed |  |  | 
2 | exit 0 | 0 failed |  |  | 
3 | exit 0 | 0 failed |  |  | 
4 | exit 0 | 0 failed |  |  | 
5 | exit 0 | 0 failed |  |  | 
6 | exit 0 | 0 failed |  |  | 
7 | exit 0 | 0 failed |  |  | 
8 | exit 0 | 0 failed |  |  | 
9 | exit 0 | 0 failed |  |  | 
10 | exit 0 | 0 failed |  |  | 
11 | exit 0 | 0 failed |  |  | 
12 | exit 0 | 0 failed |  |  | 
13 | exit 0 | 0 failed |  |  | 
14 | exit 0 | 0 failed |  |  | 
15 | exit 0 | 0 failed |  |  | 
16 | exit 0 | 0 failed |  |  | 
17 | exit 0 | 0 failed |  |  | 
18 | exit 0 | 0 failed |  |  | 
19 | exit 0 | 0 failed |  |  | 
20 | exit 0 | 0 failed |  |  | 
